Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
09 16 2014 13 52 01 15 1.00000000E+2 0.00000000E+0 0.00000000E+0 9.48354700E+5 0.00000000E+0 6.55807257E+1 4.48783233E-1 5.92454503E+2 3.54944081E-3 -2.73922682E+0 3.49870420E-3 -1.02064610E+0 3.78621125E-2
09 16 2014 13 52 06 19 1.00000000E+2 0.00000000E+0 5.00000000E+1 9.48359200E+5 0.00000000E+0 6.56741261E+1 4.68624355E-1 5.92464688E+2 3.26142508E-3 -2.41469741E+0 3.47906182E-3 -2.14105844E+0 4.87163990E-3
09 16 2014 13 52 10 24 1.00000000E+2 0.00000000E+0 1.00000000E+2 9.48363700E+5 0.00000000E+0 6.56195879E+1 4.20393141E-1 5.92351134E+2 4.10821316E-3 -2.43785381E+0 2.95252215E-3 -2.38394141E+0 4.07840583E-3
09 16 2014 13 52 15 28 1.00000000E+2 0.00000000E+0 1.50000000E+2 9.48368200E+5 0.00000000E+0 6.56921268E+1 4.59857704E-1 5.92403998E+2 4.77687429E-3 -2.34145522E+0 2.76273188E-3 -2.63037682E+0 5.48589101E-3
09 16 2014 13 52 20 33 1.00000000E+2 0.00000000E+0 2.00000000E+2 9.48372800E+5 0.00000000E+0 6.56226277E+1 4.63631783E-1 5.92420182E+2 4.18244338E-3 -2.12202221E+0 2.86903146E-3 -3.06043029E+0 8.89458953E-3
09 16 2014 13 52 24 37 1.00000000E+2 0.00000000E+0 2.50000000E+2 9.48377300E+5 0.00000000E+0 6.55722618E+1 4.41263573E-1 5.92260091E+2 2.93458412E-3 -2.10186243E+0 2.98940352E-3 -3.38225961E+0 7.01694965E-3
09 16 2014 13 52 29 42 1.00000000E+2 0.00000000E+0 3.00000000E+2 9.48381800E+5 0.00000000E+0 6.54845685E+1 4.24962858E-1 5.92154714E+2 3.74475449E-3 -2.19521672E+0 2.99188205E-3 -3.38043272E+0 1.09449342E-2
09 16 2014 13 52 33 46 1.00000000E+2 0.00000000E+0 3.50000000E+2 9.48386300E+5 0.00000000E+0 6.55362606E+1 4.31744453E-1 5.92229159E+2 3.99413089E-3 -2.25781202E+0 3.34388236E-3 -3.19213867E+0 8.00646740E-3
09 16 2014 13 52 38 51 1.00000000E+2 0.00000000E+0 4.00000000E+2 9.48390800E+5 0.00000000E+0 6.56571388E+1 4.46010906E-1 5.92202265E+2 4.04353160E-3 -2.27664113E+0 5.41918044E-3 -3.41508389E+0 1.47275397E-2
09 16 2014 13 52 42 55 1.00000000E+2 0.00000000E+0 4.50000000E+2 9.48395400E+5 0.00000000E+0 6.56161904E+1 4.53719104E-1 5.91815448E+2 3.68082590E-3 -2.51818895E+0 5.54249318E-3 -3.67001891E+0 8.56346363E-3
09 16 2014 13 52 47 60 1.00000000E+2 0.00000000E+0 5.00000000E+2 9.48399900E+5 0.00000000E+0 6.55560493E+1 4.42200149E-1 5.91211629E+2 4.48988527E-3 -2.55449414E+0 2.81789628E-3 -3.95271778E+0 4.64628172E-3
09 16 2014 13 52 51 64 1.00000000E+2 0.00000000E+0 5.50000000E+2 9.48404400E+5 0.00000000E+0 6.56036139E+1 4.09877290E-1 5.90476599E+2 3.20554504E-3 -2.63707042E+0 4.26869053E-3 -4.44250107E+0 4.42900277E-3
09 16 2014 13 52 56 69 1.00000000E+2 0.00000000E+0 6.00000000E+2 9.48408900E+5 0.00000000E+0 6.55722022E+1 4.76872837E-1 5.89151416E+2 4.31747571E-3 -2.74944901E+0 8.91874991E-3 -5.51160574E+0 8.19333457E-3
09 16 2014 13 53 00 73 1.00000000E+2 0.00000000E+0 6.50000000E+2 9.48413400E+5 0.00000000E+0 6.56010956E+1 4.40468075E-1 5.86906525E+2 2.63569016E-3 -2.90483981E+0 7.20323632E-3 -7.95046985E+0 6.81113589E-3
09 16 2014 13 53 05 78 1.00000000E+2 0.00000000E+0 7.00000000E+2 9.48417900E+5 0.00000000E+0 6.56389594E+1 4.33205117E-1 5.83257151E+2 3.40589581E-3 -2.67825723E+0 2.80965606E-3 -1.07018530E+1 4.27359374E-3
09 16 2014 13 53 09 82 1.00000000E+2 0.00000000E+0 7.50000000E+2 9.48422400E+5 0.00000000E+0 6.56413287E+1 4.29509481E-1 5.77532628E+2 5.63775252E-3 -2.44318694E+0 4.03448309E-3 -1.55770779E+1 3.45802842E-3
09 16 2014 13 53 14 87 1.00000000E+2 0.00000000E+0 8.00000000E+2 9.48427000E+5 0.00000000E+0 6.56529069E+1 4.53628759E-1 5.67947552E+2 2.74548187E-3 -2.11143494E+0 2.72114006E-3 -2.39111304E+1 4.48229932E-3
09 16 2014 13 53 18 91 1.00000000E+2 0.00000000E+0 8.50000000E+2 9.48431500E+5 0.00000000E+0 6.56128675E+1 4.36349744E-1 5.51686454E+2 4.37503398E-3 -1.90431625E+0 2.69105785E-3 -3.66747305E+1 5.80872162E-3
09 16 2014 13 53 23 96 1.00000000E+2 0.00000000E+0 9.00000000E+2 9.48436000E+5 0.00000000E+0 6.55875802E+1 4.54185709E-1 5.25198622E+2 5.26248332E-3 -1.63567066E+0 1.63176757E-3 -5.52184880E+1 8.36111493E-3
09 16 2014 13 53 27 101 1.00000000E+2 0.00000000E+0 9.50000000E+2 9.48440500E+5 0.00000000E+0 6.56103492E+1 4.46652529E-1 4.83614943E+2 3.86324765E-3 -1.22452974E+0 2.72715291E-3 -7.87515581E+1 7.20002866E-3
09 16 2014 13 53 32 105 1.00000000E+2 0.00000000E+0 1.00000000E+3 9.48445000E+5 0.00000000E+0 6.55766726E+1 3.95284528E-1 4.23281045E+2 3.94501024E-3 -5.70350885E-1 2.32814986E-3 -1.02888405E+2 5.61776793E-3
09 16 2014 13 53 36 110 1.00000000E+2 0.00000000E+0 1.05000000E+3 9.48449500E+5 0.00000000E+0 6.56409264E+1 4.28315091E-1 3.46850348E+2 3.42028882E-3 1.67131424E-1 1.73226273E-3 -1.17907315E+2 1.25761340E-2
09 16 2014 13 53 41 114 1.00000000E+2 0.00000000E+0 1.10000000E+3 9.48454100E+5 0.00000000E+0 6.56691790E+1 4.48323717E-1 2.66896868E+2 3.60141254E-3 1.15749240E+0 3.68745944E-3 -1.14290887E+2 7.74068225E-3
