Month Day Year Hour Minute Second Time_s x y z Current CurrentError 1Axis 1AxisError Bx BxError By ByError Bz BzError
08 07 2014 13 24 44 11 1.00000000E+2 0.00000000E+0 0.00000000E+0 1.11678770E+6 0.00000000E+0 8.27312469E-2 3.83842611E-2 7.08961487E-1 2.67613012E-3 2.78073549E-1 2.04776987E-3 1.49977207E-1 3.12919754E-3
08 07 2014 13 24 49 16 1.00000000E+2 0.00000000E+0 5.00000000E+1 1.11679220E+6 0.00000000E+0 1.32143497E-1 3.68977102E-2 5.95265627E-1 2.74480590E-3 2.19035149E-1 1.81425829E-3 5.04016876E-2 3.08361918E-3
08 07 2014 13 24 53 20 1.00000000E+2 0.00000000E+0 1.00000000E+2 1.11679670E+6 0.00000000E+0 1.93893909E-1 2.58678954E-2 5.08135557E-1 2.23404663E-3 2.02935934E-1 1.94242614E-3 1.18184090E-1 3.85281846E-3
08 07 2014 13 24 58 25 1.00000000E+2 0.00000000E+0 1.50000000E+2 1.11680120E+6 0.00000000E+0 1.87695026E-1 3.38115679E-2 6.40040636E-1 2.43062512E-3 2.44766474E-1 2.41097502E-3 2.77602673E-1 3.13354468E-3
08 07 2014 13 25 02 29 1.00000000E+2 0.00000000E+0 2.00000000E+2 1.11680570E+6 0.00000000E+0 1.89363956E-1 3.55494035E-2 6.79105520E-1 2.16998652E-3 2.65103579E-1 1.99373094E-3 2.01541185E-1 3.27275239E-3
08 07 2014 13 25 07 34 1.00000000E+2 0.00000000E+0 2.50000000E+2 1.11681030E+6 0.00000000E+0 1.86324120E-1 2.99515252E-2 5.50341606E-1 2.33614352E-3 2.13295221E-1 1.62987573E-3 1.38580799E-1 2.67973306E-3
08 07 2014 13 25 11 39 1.00000000E+2 0.00000000E+0 3.00000000E+2 1.11681480E+6 0.00000000E+0 1.78962946E-1 3.37844959E-2 4.59633768E-1 2.91570708E-3 2.03639269E-1 1.90063128E-3 2.64495611E-1 3.59833064E-3
08 07 2014 13 25 16 43 1.00000000E+2 0.00000000E+0 3.50000000E+2 1.11681930E+6 0.00000000E+0 1.59204006E-1 4.09688637E-2 5.74135780E-1 2.35692552E-3 2.64084339E-1 2.71731679E-3 4.92483377E-1 2.65206300E-3
08 07 2014 13 25 20 48 1.00000000E+2 0.00000000E+0 4.00000000E+2 1.11682380E+6 0.00000000E+0 1.52736902E-1 2.81625902E-2 6.23770058E-1 1.76331387E-3 2.96220183E-1 1.70369219E-3 5.10290265E-1 3.64940765E-3
08 07 2014 13 25 25 52 1.00000000E+2 0.00000000E+0 4.50000000E+2 1.11682830E+6 0.00000000E+0 1.77562237E-1 3.37274040E-2 4.93985415E-1 1.86783357E-3 2.57778168E-1 2.03168150E-3 5.46425581E-1 3.81506488E-3
08 07 2014 13 25 29 57 1.00000000E+2 0.00000000E+0 5.00000000E+2 1.11683280E+6 0.00000000E+0 1.51842833E-1 3.28114411E-2 3.73065472E-1 2.68860337E-3 2.64048576E-1 1.83855613E-3 7.92317092E-1 3.78977281E-3
08 07 2014 13 25 34 61 1.00000000E+2 0.00000000E+0 5.50000000E+2 1.11683740E+6 0.00000000E+0 1.52170658E-1 4.57746597E-2 4.50807810E-1 2.28724764E-3 3.31634283E-1 1.72987555E-3 1.18458867E+0 3.20747151E-3
08 07 2014 13 25 38 66 1.00000000E+2 0.00000000E+0 6.00000000E+2 1.11684190E+6 0.00000000E+0 1.55806541E-1 3.72825179E-2 4.02039289E-1 3.12981296E-3 3.40908766E-1 1.88838280E-3 1.45771503E+0 3.07438837E-3
08 07 2014 13 25 43 70 1.00000000E+2 0.00000000E+0 6.50000000E+2 1.11684640E+6 0.00000000E+0 1.51038170E-1 3.16914565E-2 2.09140778E-1 2.58740388E-3 3.03435326E-1 2.18253946E-3 1.93089247E+0 3.07898294E-3
08 07 2014 13 25 47 75 1.00000000E+2 0.00000000E+0 7.00000000E+2 1.11685090E+6 0.00000000E+0 1.63793564E-1 3.52347866E-2 -4.02927399E-3 2.05445210E-3 3.28081846E-1 2.08863492E-3 2.80951262E+0 2.71478331E-3
08 07 2014 13 25 52 79 1.00000000E+2 0.00000000E+0 7.50000000E+2 1.11685540E+6 0.00000000E+0 1.42335892E-1 3.07895865E-2 4.28915024E-2 2.57325862E-3 4.04047966E-1 2.39682611E-3 4.16269898E+0 3.56598993E-3
08 07 2014 13 25 56 84 1.00000000E+2 0.00000000E+0 8.00000000E+2 1.11686000E+6 0.00000000E+0 1.53362751E-1 3.46954655E-2 1.86878443E-1 2.66932298E-3 5.03784418E-1 2.77219105E-3 5.83125949E+0 2.85612359E-3
08 07 2014 13 26 01 88 1.00000000E+2 0.00000000E+0 8.50000000E+2 1.11686450E+6 0.00000000E+0 1.68755651E-1 3.92220151E-2 4.35829163E-1 2.55823617E-3 5.99600375E-1 2.45783952E-3 8.18414241E+0 3.24575432E-3
08 07 2014 13 26 06 93 1.00000000E+2 0.00000000E+0 9.00000000E+2 1.11686900E+6 0.00000000E+0 1.48534775E-1 3.53407638E-2 1.27710104E+0 3.13516734E-3 8.18085670E-1 2.57668611E-3 1.16077125E+1 3.53515027E-3
08 07 2014 13 26 10 97 1.00000000E+2 0.00000000E+0 9.50000000E+2 1.11687350E+6 0.00000000E+0 1.59144402E-1 3.50726615E-2 3.31892073E+0 3.42883026E-3 1.20262802E+0 2.26889447E-3 1.61129981E+1 4.15260902E-3
08 07 2014 13 26 15 102 1.00000000E+2 0.00000000E+0 1.00000000E+3 1.11687800E+6 0.00000000E+0 1.60992146E-1 4.37190601E-2 6.73691630E+0 3.85551104E-3 1.71126127E+0 3.03972001E-3 2.13218868E+1 6.17791054E-3
08 07 2014 13 26 19 106 1.00000000E+2 0.00000000E+0 1.05000000E+3 1.11688250E+6 0.00000000E+0 1.65775418E-1 3.33997930E-2 1.20458454E+1 4.16081407E-3 2.39320099E+0 2.93970366E-3 2.70253271E+1 5.90743877E-3
08 07 2014 13 26 24 111 1.00000000E+2 0.00000000E+0 1.10000000E+3 1.11688710E+6 0.00000000E+0 1.66535378E-1 3.43331904E-2 1.94753766E+1 3.32576039E-3 3.32021713E+0 2.43447620E-3 3.24111342E+1 4.13335079E-3
08 07 2014 13 26 28 115 1.00000000E+2 0.00000000E+0 1.15000000E+3 1.11689160E+6 0.00000000E+0 1.43647194E-1 2.80385349E-2 2.82916665E+1 3.87386269E-3 4.37104702E+0 3.48347155E-3 3.63896668E+1 4.06146205E-3
08 07 2014 13 26 33 120 1.00000000E+2 0.00000000E+0 1.20000000E+3 1.11689610E+6 0.00000000E+0 1.68979168E-1 3.79816724E-2 3.74712706E+1 2.88486999E-3 5.38710952E+0 3.25418837E-3 3.87970746E+1 3.88935001E-3
